date,city,precip_mm,rainy_day,year,month
2019-01-11,New Orleans,0.0,0,2019,1
2019-01-12,New Orleans,2.54,1,2019,1
2019-01-13,New Orleans,0.0,0,2019,1
2019-01-14,New Orleans,0.0,0,2019,1
2019-01-15,New Orleans,0.0,0,2019,1
2019-01-16,New Orleans,0.0,0,2019,1
2019-01-17,New Orleans,3.0479999999999996,1,2019,1
2019-01-18,New Orleans,0.0,0,2019,1
2019-01-19,New Orleans,0.508,1,2019,1
2019-01-20,New Orleans,0.0,0,2019,1
2019-01-21,New Orleans,0.0,0,2019,1
2019-01-22,New Orleans,0.0,0,2019,1
2019-01-23,New Orleans,58.92799999999999,1,2019,1
2019-01-24,New Orleans,0.0,0,2019,1
2019-01-25,New Orleans,0.0,0,2019,1
2019-01-26,New Orleans,0.0,0,2019,1
2019-01-27,New Orleans,0.0,0,2019,1
2019-01-28,New Orleans,2.2859999999999996,1,2019,1
2019-01-29,New Orleans,1.5239999999999998,1,2019,1
2019-01-30,New Orleans,0.0,0,2019,1
2019-01-31,New Orleans,0.0,0,2019,1
2019-02-01,New Orleans,1.778,1,2019,2
2019-02-02,New Orleans,0.0,0,2019,2
2019-02-03,New Orleans,0.0,0,2019,2
2019-02-04,New Orleans,4.826,1,2019,2
2019-02-05,New Orleans,0.508,1,2019,2
2019-02-06,New Orleans,0.0,0,2019,2
2019-02-07,New Orleans,0.0,0,2019,2
2019-02-08,New Orleans,0.0,0,2019,2
2019-02-09,New Orleans,0.0,0,2019,2
2019-02-10,New Orleans,0.0,0,2019,2
2019-02-11,New Orleans,0.7619999999999999,1,2019,2
2019-02-12,New Orleans,34.036,1,2019,2
2019-02-13,New Orleans,0.0,0,2019,2
2019-02-14,New Orleans,0.0,0,2019,2
2019-02-15,New Orleans,0.254,1,2019,2
2019-02-16,New Orleans,0.0,0,2019,2
2019-02-17,New Orleans,1.778,1,2019,2
2019-02-18,New Orleans,3.0479999999999996,1,2019,2
2019-02-19,New Orleans,9.652,1,2019,2
2019-02-20,New Orleans,3.302,1,2019,2
2019-02-21,New Orleans,0.0,0,2019,2
2019-02-22,New Orleans,0.0,0,2019,2
2019-02-23,New Orleans,11.43,1,2019,2
2019-02-24,New Orleans,0.0,0,2019,2
2019-02-25,New Orleans,3.0479999999999996,1,2019,2
2019-02-26,New Orleans,10.16,1,2019,2
2019-02-27,New Orleans,53.08599999999999,1,2019,2
2019-02-28,New Orleans,17.525999999999996,1,2019,2
2019-03-01,New Orleans,1.016,1,2019,3
2019-03-02,New Orleans,0.0,0,2019,3
2019-03-03,New Orleans,17.525999999999996,1,2019,3
